date_key,full_date,year,quarter,month_number,month_name,year_month,week_of_year,day_of_month,day_name,is_weekend
20100308,2010-03-08,2010,Q1,3,March,2010-03,10,8,Monday,0
20100309,2010-03-09,2010,Q1,3,March,2010-03,10,9,Tuesday,0
20100310,2010-03-10,2010,Q1,3,March,2010-03,10,10,Wednesday,0
20100311,2010-03-11,2010,Q1,3,March,2010-03,10,11,Thursday,0
20100312,2010-03-12,2010,Q1,3,March,2010-03,10,12,Friday,0
20100313,2010-03-13,2010,Q1,3,March,2010-03,10,13,Saturday,1
20100314,2010-03-14,2010,Q1,3,March,2010-03,10,14,Sunday,1
20100315,2010-03-15,2010,Q1,3,March,2010-03,11,15,Monday,0
20100316,2010-03-16,2010,Q1,3,March,2010-03,11,16,Tuesday,0
20100317,2010-03-17,2010,Q1,3,March,2010-03,11,17,Wednesday,0
20100318,2010-03-18,2010,Q1,3,March,2010-03,11,18,Thursday,0
20100319,2010-03-19,2010,Q1,3,March,2010-03,11,19,Friday,0
20100320,2010-03-20,2010,Q1,3,March,2010-03,11,20,Saturday,1
20100321,2010-03-21,2010,Q1,3,March,2010-03,11,21,Sunday,1
20100322,2010-03-22,2010,Q1,3,March,2010-03,12,22,Monday,0
20100323,2010-03-23,2010,Q1,3,March,2010-03,12,23,Tuesday,0
20100324,2010-03-24,2010,Q1,3,March,2010-03,12,24,Wednesday,0
20100325,2010-03-25,2010,Q1,3,March,2010-03,12,25,Thursday,0
20100326,2010-03-26,2010,Q1,3,March,2010-03,12,26,Friday,0
20100327,2010-03-27,2010,Q1,3,March,2010-03,12,27,Saturday,1
20100328,2010-03-28,2010,Q1,3,March,2010-03,12,28,Sunday,1
20100329,2010-03-29,2010,Q1,3,March,2010-03,13,29,Monday,0
20100330,2010-03-30,2010,Q1,3,March,2010-03,13,30,Tuesday,0
20100331,2010-03-31,2010,Q1,3,March,2010-03,13,31,Wednesday,0
20100401,2010-04-01,2010,Q2,4,April,2010-04,13,1,Thursday,0
20100402,2010-04-02,2010,Q2,4,April,2010-04,13,2,Friday,0
20100403,2010-04-03,2010,Q2,4,April,2010-04,13,3,Saturday,1
20100404,2010-04-04,2010,Q2,4,April,2010-04,13,4,Sunday,1
20100405,2010-04-05,2010,Q2,4,April,2010-04,14,5,Monday,0
20100406,2010-04-06,2010,Q2,4,April,2010-04,14,6,Tuesday,0
20100407,2010-04-07,2010,Q2,4,April,2010-04,14,7,Wednesday,0
20100408,2010-04-08,2010,Q2,4,April,2010-04,14,8,Thursday,0
20100409,2010-04-09,2010,Q2,4,April,2010-04,14,9,Friday,0
20100410,2010-04-10,2010,Q2,4,April,2010-04,14,10,Saturday,1
20100411,2010-04-11,2010,Q2,4,April,2010-04,14,11,Sunday,1
20100412,2010-04-12,2010,Q2,4,April,2010-04,15,12,Monday,0
20100413,2010-04-13,2010,Q2,4,April,2010-04,15,13,Tuesday,0
20100414,2010-04-14,2010,Q2,4,April,2010-04,15,14,Wednesday,0
20100415,2010-04-15,2010,Q2,4,April,2010-04,15,15,Thursday,0
20100416,2010-04-16,2010,Q2,4,April,2010-04,15,16,Friday,0
20100417,2010-04-17,2010,Q2,4,April,2010-04,15,17,Saturday,1
20100418,2010-04-18,2010,Q2,4,April,2010-04,15,18,Sunday,1
20100419,2010-04-19,2010,Q2,4,April,2010-04,16,19,Monday,0
20100420,2010-04-20,2010,Q2,4,April,2010-04,16,20,Tuesday,0
20100421,2010-04-21,2010,Q2,4,April,2010-04,16,21,Wednesday,0
20100422,2010-04-22,2010,Q2,4,April,2010-04,16,22,Thursday,0
20100423,2010-04-23,2010,Q2,4,April,2010-04,16,23,Friday,0
20100424,2010-04-24,2010,Q2,4,April,2010-04,16,24,Saturday,1
20100425,2010-04-25,2010,Q2,4,April,2010-04,16,25,Sunday,1
20100426,2010-04-26,2010,Q2,4,April,2010-04,17,26,Monday,0
20100427,2010-04-27,2010,Q2,4,April,2010-04,17,27,Tuesday,0
20100428,2010-04-28,2010,Q2,4,April,2010-04,17,28,Wednesday,0
20100429,2010-04-29,2010,Q2,4,April,2010-04,17,29,Thursday,0
20100430,2010-04-30,2010,Q2,4,April,2010-04,17,30,Friday,0
20100501,2010-05-01,2010,Q2,5,May,2010-05,17,1,Saturday,1
20100502,2010-05-02,2010,Q2,5,May,2010-05,17,2,Sunday,1
20100503,2010-05-03,2010,Q2,5,May,2010-05,18,3,Monday,0
20100504,2010-05-04,2010,Q2,5,May,2010-05,18,4,Tuesday,0
20100505,2010-05-05,2010,Q2,5,May,2010-05,18,5,Wednesday,0
20100506,2010-05-06,2010,Q2,5,May,2010-05,18,6,Thursday,0
20100507,2010-05-07,2010,Q2,5,May,2010-05,18,7,Friday,0
20100508,2010-05-08,2010,Q2,5,May,2010-05,18,8,Saturday,1
20100509,2010-05-09,2010,Q2,5,May,2010-05,18,9,Sunday,1
20100510,2010-05-10,2010,Q2,5,May,2010-05,19,10,Monday,0
20100511,2010-05-11,2010,Q2,5,May,2010-05,19,11,Tuesday,0
20100512,2010-05-12,2010,Q2,5,May,2010-05,19,12,Wednesday,0
20100513,2010-05-13,2010,Q2,5,May,2010-05,19,13,Thursday,0
20100514,2010-05-14,2010,Q2,5,May,2010-05,19,14,Friday,0
20100515,2010-05-15,2010,Q2,5,May,2010-05,19,15,Saturday,1
20100516,2010-05-16,2010,Q2,5,May,2010-05,19,16,Sunday,1
20100517,2010-05-17,2010,Q2,5,May,2010-05,20,17,Monday,0
20100518,2010-05-18,2010,Q2,5,May,2010-05,20,18,Tuesday,0
20100519,2010-05-19,2010,Q2,5,May,2010-05,20,19,Wednesday,0
20100520,2010-05-20,2010,Q2,5,May,2010-05,20,20,Thursday,0
20100521,2010-05-21,2010,Q2,5,May,2010-05,20,21,Friday,0
20100522,2010-05-22,2010,Q2,5,May,2010-05,20,22,Saturday,1
20100523,2010-05-23,2010,Q2,5,May,2010-05,20,23,Sunday,1
20100524,2010-05-24,2010,Q2,5,May,2010-05,21,24,Monday,0
20100525,2010-05-25,2010,Q2,5,May,2010-05,21,25,Tuesday,0
20100526,2010-05-26,2010,Q2,5,May,2010-05,21,26,Wednesday,0
20100527,2010-05-27,2010,Q2,5,May,2010-05,21,27,Thursday,0
20100528,2010-05-28,2010,Q2,5,May,2010-05,21,28,Friday,0
20100529,2010-05-29,2010,Q2,5,May,2010-05,21,29,Saturday,1
20100530,2010-05-30,2010,Q2,5,May,2010-05,21,30,Sunday,1
20100531,2010-05-31,2010,Q2,5,May,2010-05,22,31,Monday,0
20100601,2010-06-01,2010,Q2,6,June,2010-06,22,1,Tuesday,0
20100602,2010-06-02,2010,Q2,6,June,2010-06,22,2,Wednesday,0
20100603,2010-06-03,2010,Q2,6,June,2010-06,22,3,Thursday,0
20100604,2010-06-04,2010,Q2,6,June,2010-06,22,4,Friday,0
20100605,2010-06-05,2010,Q2,6,June,2010-06,22,5,Saturday,1
20100606,2010-06-06,2010,Q2,6,June,2010-06,22,6,Sunday,1
20100607,2010-06-07,2010,Q2,6,June,2010-06,23,7,Monday,0
20100608,2010-06-08,2010,Q2,6,June,2010-06,23,8,Tuesday,0
20100609,2010-06-09,2010,Q2,6,June,2010-06,23,9,Wednesday,0
20100610,2010-06-10,2010,Q2,6,June,2010-06,23,10,Thursday,0
20100611,2010-06-11,2010,Q2,6,June,2010-06,23,11,Friday,0
20100612,2010-06-12,2010,Q2,6,June,2010-06,23,12,Saturday,1
20100613,2010-06-13,2010,Q2,6,June,2010-06,23,13,Sunday,1
20100614,2010-06-14,2010,Q2,6,June,2010-06,24,14,Monday,0
20100615,2010-06-15,2010,Q2,6,June,2010-06,24,15,Tuesday,0
20100616,2010-06-16,2010,Q2,6,June,2010-06,24,16,Wednesday,0
20100617,2010-06-17,2010,Q2,6,June,2010-06,24,17,Thursday,0
20100618,2010-06-18,2010,Q2,6,June,2010-06,24,18,Friday,0
20100619,2010-06-19,2010,Q2,6,June,2010-06,24,19,Saturday,1
20100620,2010-06-20,2010,Q2,6,June,2010-06,24,20,Sunday,1
20100621,2010-06-21,2010,Q2,6,June,2010-06,25,21,Monday,0
20100622,2010-06-22,2010,Q2,6,June,2010-06,25,22,Tuesday,0
20100623,2010-06-23,2010,Q2,6,June,2010-06,25,23,Wednesday,0
20100624,2010-06-24,2010,Q2,6,June,2010-06,25,24,Thursday,0
20100625,2010-06-25,2010,Q2,6,June,2010-06,25,25,Friday,0
20100626,2010-06-26,2010,Q2,6,June,2010-06,25,26,Saturday,1
20100627,2010-06-27,2010,Q2,6,June,2010-06,25,27,Sunday,1
20100628,2010-06-28,2010,Q2,6,June,2010-06,26,28,Monday,0
20100629,2010-06-29,2010,Q2,6,June,2010-06,26,29,Tuesday,0
20100630,2010-06-30,2010,Q2,6,June,2010-06,26,30,Wednesday,0
20100701,2010-07-01,2010,Q3,7,July,2010-07,26,1,Thursday,0
20100702,2010-07-02,2010,Q3,7,July,2010-07,26,2,Friday,0
20100703,2010-07-03,2010,Q3,7,July,2010-07,26,3,Saturday,1
20100704,2010-07-04,2010,Q3,7,July,2010-07,26,4,Sunday,1
20100705,2010-07-05,2010,Q3,7,July,2010-07,27,5,Monday,0
20100706,2010-07-06,2010,Q3,7,July,2010-07,27,6,Tuesday,0
20100707,2010-07-07,2010,Q3,7,July,2010-07,27,7,Wednesday,0
20100708,2010-07-08,2010,Q3,7,July,2010-07,27,8,Thursday,0
20100709,2010-07-09,2010,Q3,7,July,2010-07,27,9,Friday,0
20100710,2010-07-10,2010,Q3,7,July,2010-07,27,10,Saturday,1
20100711,2010-07-11,2010,Q3,7,July,2010-07,27,11,Sunday,1
20100712,2010-07-12,2010,Q3,7,July,2010-07,28,12,Monday,0
20100713,2010-07-13,2010,Q3,7,July,2010-07,28,13,Tuesday,0
20100714,2010-07-14,2010,Q3,7,July,2010-07,28,14,Wednesday,0
20100715,2010-07-15,2010,Q3,7,July,2010-07,28,15,Thursday,0
20100716,2010-07-16,2010,Q3,7,July,2010-07,28,16,Friday,0
20100717,2010-07-17,2010,Q3,7,July,2010-07,28,17,Saturday,1
20100718,2010-07-18,2010,Q3,7,July,2010-07,28,18,Sunday,1
20100719,2010-07-19,2010,Q3,7,July,2010-07,29,19,Monday,0
20100720,2010-07-20,2010,Q3,7,July,2010-07,29,20,Tuesday,0
20100721,2010-07-21,2010,Q3,7,July,2010-07,29,21,Wednesday,0
20100722,2010-07-22,2010,Q3,7,July,2010-07,29,22,Thursday,0
20100723,2010-07-23,2010,Q3,7,July,2010-07,29,23,Friday,0
20100724,2010-07-24,2010,Q3,7,July,2010-07,29,24,Saturday,1
20100725,2010-07-25,2010,Q3,7,July,2010-07,29,25,Sunday,1
20100726,2010-07-26,2010,Q3,7,July,2010-07,30,26,Monday,0
20100727,2010-07-27,2010,Q3,7,July,2010-07,30,27,Tuesday,0
20100728,2010-07-28,2010,Q3,7,July,2010-07,30,28,Wednesday,0
20100729,2010-07-29,2010,Q3,7,July,2010-07,30,29,Thursday,0
20100730,2010-07-30,2010,Q3,7,July,2010-07,30,30,Friday,0
20100731,2010-07-31,2010,Q3,7,July,2010-07,30,31,Saturday,1
20100801,2010-08-01,2010,Q3,8,August,2010-08,30,1,Sunday,1
20100802,2010-08-02,2010,Q3,8,August,2010-08,31,2,Monday,0
20100803,2010-08-03,2010,Q3,8,August,2010-08,31,3,Tuesday,0
20100804,2010-08-04,2010,Q3,8,August,2010-08,31,4,Wednesday,0
20100805,2010-08-05,2010,Q3,8,August,2010-08,31,5,Thursday,0
20100806,2010-08-06,2010,Q3,8,August,2010-08,31,6,Friday,0
20100807,2010-08-07,2010,Q3,8,August,2010-08,31,7,Saturday,1
20100808,2010-08-08,2010,Q3,8,August,2010-08,31,8,Sunday,1
20100809,2010-08-09,2010,Q3,8,August,2010-08,32,9,Monday,0
20100810,2010-08-10,2010,Q3,8,August,2010-08,32,10,Tuesday,0
20100811,2010-08-11,2010,Q3,8,August,2010-08,32,11,Wednesday,0
20100812,2010-08-12,2010,Q3,8,August,2010-08,32,12,Thursday,0
20100813,2010-08-13,2010,Q3,8,August,2010-08,32,13,Friday,0
20100814,2010-08-14,2010,Q3,8,August,2010-08,32,14,Saturday,1
20100815,2010-08-15,2010,Q3,8,August,2010-08,32,15,Sunday,1
20100816,2010-08-16,2010,Q3,8,August,2010-08,33,16,Monday,0
20100817,2010-08-17,2010,Q3,8,August,2010-08,33,17,Tuesday,0
20100818,2010-08-18,2010,Q3,8,August,2010-08,33,18,Wednesday,0
20100819,2010-08-19,2010,Q3,8,August,2010-08,33,19,Thursday,0
20100820,2010-08-20,2010,Q3,8,August,2010-08,33,20,Friday,0
20100821,2010-08-21,2010,Q3,8,August,2010-08,33,21,Saturday,1
20100822,2010-08-22,2010,Q3,8,August,2010-08,33,22,Sunday,1
20100823,2010-08-23,2010,Q3,8,August,2010-08,34,23,Monday,0
20100824,2010-08-24,2010,Q3,8,August,2010-08,34,24,Tuesday,0
20100825,2010-08-25,2010,Q3,8,August,2010-08,34,25,Wednesday,0
20100826,2010-08-26,2010,Q3,8,August,2010-08,34,26,Thursday,0
20100827,2010-08-27,2010,Q3,8,August,2010-08,34,27,Friday,0
20100828,2010-08-28,2010,Q3,8,August,2010-08,34,28,Saturday,1
20100829,2010-08-29,2010,Q3,8,August,2010-08,34,29,Sunday,1
20100830,2010-08-30,2010,Q3,8,August,2010-08,35,30,Monday,0
20100831,2010-08-31,2010,Q3,8,August,2010-08,35,31,Tuesday,0
20100901,2010-09-01,2010,Q3,9,September,2010-09,35,1,Wednesday,0
20100902,2010-09-02,2010,Q3,9,September,2010-09,35,2,Thursday,0
20100903,2010-09-03,2010,Q3,9,September,2010-09,35,3,Friday,0
20100904,2010-09-04,2010,Q3,9,September,2010-09,35,4,Saturday,1
20100905,2010-09-05,2010,Q3,9,September,2010-09,35,5,Sunday,1
20100906,2010-09-06,2010,Q3,9,September,2010-09,36,6,Monday,0
20100907,2010-09-07,2010,Q3,9,September,2010-09,36,7,Tuesday,0
20100908,2010-09-08,2010,Q3,9,September,2010-09,36,8,Wednesday,0
20100909,2010-09-09,2010,Q3,9,September,2010-09,36,9,Thursday,0
20100910,2010-09-10,2010,Q3,9,September,2010-09,36,10,Friday,0
20100911,2010-09-11,2010,Q3,9,September,2010-09,36,11,Saturday,1
20100912,2010-09-12,2010,Q3,9,September,2010-09,36,12,Sunday,1
20100913,2010-09-13,2010,Q3,9,September,2010-09,37,13,Monday,0
20100914,2010-09-14,2010,Q3,9,September,2010-09,37,14,Tuesday,0
20100915,2010-09-15,2010,Q3,9,September,2010-09,37,15,Wednesday,0
20100916,2010-09-16,2010,Q3,9,September,2010-09,37,16,Thursday,0
20100917,2010-09-17,2010,Q3,9,September,2010-09,37,17,Friday,0
20100918,2010-09-18,2010,Q3,9,September,2010-09,37,18,Saturday,1
20100919,2010-09-19,2010,Q3,9,September,2010-09,37,19,Sunday,1
20100920,2010-09-20,2010,Q3,9,September,2010-09,38,20,Monday,0
20100921,2010-09-21,2010,Q3,9,September,2010-09,38,21,Tuesday,0
20100922,2010-09-22,2010,Q3,9,September,2010-09,38,22,Wednesday,0
20100923,2010-09-23,2010,Q3,9,September,2010-09,38,23,Thursday,0
20100924,2010-09-24,2010,Q3,9,September,2010-09,38,24,Friday,0
20100925,2010-09-25,2010,Q3,9,September,2010-09,38,25,Saturday,1
20100926,2010-09-26,2010,Q3,9,September,2010-09,38,26,Sunday,1
20100927,2010-09-27,2010,Q3,9,September,2010-09,39,27,Monday,0
20100928,2010-09-28,2010,Q3,9,September,2010-09,39,28,Tuesday,0
20100929,2010-09-29,2010,Q3,9,September,2010-09,39,29,Wednesday,0
20100930,2010-09-30,2010,Q3,9,September,2010-09,39,30,Thursday,0
20101001,2010-10-01,2010,Q4,10,October,2010-10,39,1,Friday,0
20101002,2010-10-02,2010,Q4,10,October,2010-10,39,2,Saturday,1
20101003,2010-10-03,2010,Q4,10,October,2010-10,39,3,Sunday,1
20101004,2010-10-04,2010,Q4,10,October,2010-10,40,4,Monday,0
20101005,2010-10-05,2010,Q4,10,October,2010-10,40,5,Tuesday,0
20101006,2010-10-06,2010,Q4,10,October,2010-10,40,6,Wednesday,0
20101007,2010-10-07,2010,Q4,10,October,2010-10,40,7,Thursday,0
20101008,2010-10-08,2010,Q4,10,October,2010-10,40,8,Friday,0
20101009,2010-10-09,2010,Q4,10,October,2010-10,40,9,Saturday,1
20101010,2010-10-10,2010,Q4,10,October,2010-10,40,10,Sunday,1
20101011,2010-10-11,2010,Q4,10,October,2010-10,41,11,Monday,0
20101012,2010-10-12,2010,Q4,10,October,2010-10,41,12,Tuesday,0
20101013,2010-10-13,2010,Q4,10,October,2010-10,41,13,Wednesday,0
20101014,2010-10-14,2010,Q4,10,October,2010-10,41,14,Thursday,0
20101015,2010-10-15,2010,Q4,10,October,2010-10,41,15,Friday,0
20101016,2010-10-16,2010,Q4,10,October,2010-10,41,16,Saturday,1
20101017,2010-10-17,2010,Q4,10,October,2010-10,41,17,Sunday,1
20101018,2010-10-18,2010,Q4,10,October,2010-10,42,18,Monday,0
20101019,2010-10-19,2010,Q4,10,October,2010-10,42,19,Tuesday,0
20101020,2010-10-20,2010,Q4,10,October,2010-10,42,20,Wednesday,0
20101021,2010-10-21,2010,Q4,10,October,2010-10,42,21,Thursday,0
20101022,2010-10-22,2010,Q4,10,October,2010-10,42,22,Friday,0
20101023,2010-10-23,2010,Q4,10,October,2010-10,42,23,Saturday,1
20101024,2010-10-24,2010,Q4,10,October,2010-10,42,24,Sunday,1
20101025,2010-10-25,2010,Q4,10,October,2010-10,43,25,Monday,0
20101026,2010-10-26,2010,Q4,10,October,2010-10,43,26,Tuesday,0
20101027,2010-10-27,2010,Q4,10,October,2010-10,43,27,Wednesday,0
20101028,2010-10-28,2010,Q4,10,October,2010-10,43,28,Thursday,0
20101029,2010-10-29,2010,Q4,10,October,2010-10,43,29,Friday,0
20101030,2010-10-30,2010,Q4,10,October,2010-10,43,30,Saturday,1
20101031,2010-10-31,2010,Q4,10,October,2010-10,43,31,Sunday,1
20101101,2010-11-01,2010,Q4,11,November,2010-11,44,1,Monday,0
20101102,2010-11-02,2010,Q4,11,November,2010-11,44,2,Tuesday,0
20101103,2010-11-03,2010,Q4,11,November,2010-11,44,3,Wednesday,0
20101104,2010-11-04,2010,Q4,11,November,2010-11,44,4,Thursday,0
20101105,2010-11-05,2010,Q4,11,November,2010-11,44,5,Friday,0
20101106,2010-11-06,2010,Q4,11,November,2010-11,44,6,Saturday,1
20101107,2010-11-07,2010,Q4,11,November,2010-11,44,7,Sunday,1
20101108,2010-11-08,2010,Q4,11,November,2010-11,45,8,Monday,0
20101109,2010-11-09,2010,Q4,11,November,2010-11,45,9,Tuesday,0
20101110,2010-11-10,2010,Q4,11,November,2010-11,45,10,Wednesday,0
20101111,2010-11-11,2010,Q4,11,November,2010-11,45,11,Thursday,0
20101112,2010-11-12,2010,Q4,11,November,2010-11,45,12,Friday,0
20101113,2010-11-13,2010,Q4,11,November,2010-11,45,13,Saturday,1
20101114,2010-11-14,2010,Q4,11,November,2010-11,45,14,Sunday,1
20101115,2010-11-15,2010,Q4,11,November,2010-11,46,15,Monday,0
20101116,2010-11-16,2010,Q4,11,November,2010-11,46,16,Tuesday,0
20101117,2010-11-17,2010,Q4,11,November,2010-11,46,17,Wednesday,0
20101118,2010-11-18,2010,Q4,11,November,2010-11,46,18,Thursday,0
20101119,2010-11-19,2010,Q4,11,November,2010-11,46,19,Friday,0
20101120,2010-11-20,2010,Q4,11,November,2010-11,46,20,Saturday,1
20101121,2010-11-21,2010,Q4,11,November,2010-11,46,21,Sunday,1
20101122,2010-11-22,2010,Q4,11,November,2010-11,47,22,Monday,0
20101123,2010-11-23,2010,Q4,11,November,2010-11,47,23,Tuesday,0
20101124,2010-11-24,2010,Q4,11,November,2010-11,47,24,Wednesday,0
20101125,2010-11-25,2010,Q4,11,November,2010-11,47,25,Thursday,0
20101126,2010-11-26,2010,Q4,11,November,2010-11,47,26,Friday,0
20101127,2010-11-27,2010,Q4,11,November,2010-11,47,27,Saturday,1
20101128,2010-11-28,2010,Q4,11,November,2010-11,47,28,Sunday,1
20101129,2010-11-29,2010,Q4,11,November,2010-11,48,29,Monday,0
20101130,2010-11-30,2010,Q4,11,November,2010-11,48,30,Tuesday,0
