product_id,product_name,category_id,brand,unit_price,unit_cost,launch_date
44,FUNKY MONKEY GIFT BAG MEDIUM,1,Own Brand,0.48,0.39,2010-03-24
45,WRAP BLUE REINDEER,3,Own Brand,0.48,0.36,2009-12-01
46,WRAP WINTER FOREST,8,Own Brand,0.48,0.36,2009-12-01
47,WRAP 50'S CHRISTMAS,3,Own Brand,0.48,0.36,2011-08-12
48,WRAP BLIZZARD,8,Own Brand,0.48,0.36,2009-12-01
49,WRAP FOLK ART,8,Own Brand,0.48,0.36,2009-12-04
50,WRAP DAISY CARPET,8,Own Brand,0.48,0.36,2010-02-12
51,WRAP BLUE RUSSIAN FOLKART,8,Own Brand,0.48,0.36,2009-12-01
52,WRAP GREEN RUSSIAN FOLKART,8,Own Brand,0.48,0.36,2009-12-04
53,PASTEL PINK PHOTO ALBUM,5,Own Brand,0.2,0.17,2010-08-09
54,PASTEL BLUE PHOTO ALBUM,5,Own Brand,0.2,0.17,2010-07-14
55,BEIGE PHOTO ALBUM,5,Own Brand,2.24,1.85,2010-01-21
56,PINK STRAWBERRY HANDBAG,1,Own Brand,3.39,2.73,2010-09-02
57,PINK HEART RED HANDBAG,1,Own Brand,3.39,2.73,2010-01-19
58,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,5,Own Brand,0.75,0.62,2010-04-16
59,CARTOON PENCIL SHARPENERS,9,Own Brand,0.07,0.06,2010-08-15
60,HOUSE SHAPE PENCIL SHARPENER,9,Own Brand,0.16,0.13,2010-01-19
61,RATTLE SNAKE EGGS,7,Own Brand,1.44,1.18,2010-08-23
62,RECYCLED PENCIL WITH RABBIT ERASER,9,Own Brand,0.24,0.19,2009-12-13
63,KITTY PENCIL ERASERS,9,Own Brand,0.24,0.19,2010-04-09
64,SLEEPING CAT ERASERS,9,Own Brand,0.24,0.19,2010-01-19
65,PARTY TIME PENCIL ERASERS,8,Own Brand,0.24,0.18,2010-03-18
66,BALLERINA HEART DECORATION.,6,Own Brand,3.39,2.63,2010-01-27
67,TRANSPARENT ACRYLIC TAPE DISPENSER,5,Own Brand,0.29,0.24,2010-01-21
68,FLOWER PENCIL/RUBBER+5 MINI PENCILS,9,Own Brand,0.48,0.38,2010-02-01
69,SWIRLY CIRCULAR RUBBERS IN BAG,1,Own Brand,0.48,0.39,2011-07-22
70,PIECE OF CAMO STATIONERY SET,5,Own Brand,0.24,0.2,2010-10-12
71,BROCADE RING PURSE,1,Own Brand,0.24,0.19,2010-08-23
72,ORIGAMI VANILLA INCENSE+FLOWER,4,Own Brand,0.34,0.28,2010-08-20
73,ORIGAMI JASMINE INCENSE+FLOWER,4,Own Brand,0.34,0.28,2010-08-20
74,ORIGAMI ROSE INCENSE+FLOWER,4,Own Brand,0.34,0.28,2010-08-20
75,ORIGAMI SANDLEWOOD INCENSE+FLOWER,4,Own Brand,1.58,1.32,2010-09-01
76,ORIGAMI VANILLA INCENSE/CANDLE SET,6,Own Brand,0.98,0.76,2011-10-11
77,ORIGAMI JASMINE INCENSE/CANDLE SET,6,Own Brand,0.98,0.76,2011-10-11
78,ORIGAMI LAVENDER INCENSE/CANDL SET,5,Own Brand,2.93,2.42,2010-09-01
79,ORIGAMI ROSE INCENSE/CANDLE SET,6,Own Brand,0.98,0.76,2011-10-11
80,ORIGAMI SANDLEWOOD INCENSE/CAND SET,5,Own Brand,2.93,2.42,2010-09-01
81,ORIGAMI ROSE INCENSE IN TUBE,5,Own Brand,0.34,0.28,2010-08-20
82,ORIGAMI SANDLEWOOD INCENSE IN TUBE,5,Own Brand,0.34,0.28,2010-08-20
83,ORIGAMI ROSE INCENSE CONES,5,Own Brand,0.34,0.28,2010-08-20
84,ORIGAMI OPIUM INCENSE CONES,5,Own Brand,0.34,0.28,2010-08-20
85,ORIGAMI SANDLEWOOD INCENSE CONES,5,Own Brand,0.34,0.28,2010-08-20
86,NAMASTE SWAGAT INCENSE,5,Own Brand,0.34,0.28,2011-06-09
87,PORCELAIN BUDAH INCENSE HOLDER,6,Own Brand,0.12,0.09,2011-09-09
88,LOVE POTION MASALA INCENSE,5,Own Brand,0.24,0.2,2010-08-23
89,DRAGONS BLOOD INCENSE,5,Own Brand,0.24,0.2,2010-09-21
90,ASSORTED INCENSE PACK,5,Own Brand,0.24,0.2,2010-05-10
91,LAVENDER INCENSE IN TIN,7,Own Brand,1.44,1.18,2010-04-08
92,VANILLA INCENSE IN TIN,7,Own Brand,0.44,0.36,2010-05-12
93,ASSORTED LAQUERED INCENSE HOLDERS,6,Own Brand,0.24,0.19,2010-08-23
94,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",4,Own Brand,2.93,2.45,2010-03-25
95,FLOWER FAIRY SUMMER BOUQUET SACHET,4,Own Brand,0.48,0.4,2010-01-15
96,FLOWER FAIRY INCENSE BOUQUET,4,Own Brand,1.94,1.62,2010-05-20
97,ASS COL SMALL SAND GECKO P'WEIGHT,5,Own Brand,0.48,0.4,2010-05-24
98,ASSTD RASTA KEY-CHAINS,5,Own Brand,0.48,0.4,2010-02-01
99,CIRCLE OF FRIENDS CANDLE HOLDER,6,Own Brand,2.93,2.27,2010-05-10
100,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,7,Own Brand,0.21,0.17,2010-03-25
101,WHITE AND BLUE CERAMIC OIL BURNER,5,Own Brand,1.44,1.19,2010-08-23
102,WHITE ROUND PORCELAIN TLIGHT HOLDER,6,Own Brand,2.93,2.27,2009-12-14
103,WHITE TALL PORCELAIN T-LIGHT HOLDER,6,Own Brand,2.93,2.27,2010-12-14
104,PORCELAIN BUTTERFLY OIL BURNER,5,Own Brand,3.39,2.81,2010-06-30
105,BLUE POLKADOT PASSPORT COVER,5,Own Brand,2.42,2.0,2010-01-08
106,CHERRY BLOSSOM PASSPORT COVER,5,Own Brand,2.42,2.0,2010-07-05
107,FIRST CLASS PASSPORT COVER,5,Own Brand,2.42,2.0,2009-12-10
108,QUEEN OF THE SKIES PASSPORT COVER,5,Own Brand,2.42,2.0,2009-12-10
109,TROPICAL PASSPORT COVER,5,Own Brand,2.42,2.0,2010-03-18
110,VIPPASSPORT COVER,5,Own Brand,2.42,2.0,2009-12-10
111,BLUE SPOTTY LUGGAGE TAG,5,Own Brand,1.44,1.19,2010-01-08
112,CHERRY BLOSSOM LUGGAGE TAG,5,Own Brand,1.44,1.19,2010-01-14
113,FIRST CLASS LUGGAGE TAG,5,Own Brand,1.44,1.19,2010-05-25
114,QUEEN OF SKIES LUGGAGE TAG,5,Own Brand,1.44,1.19,2009-12-23
115,TROPICAL LUGGAGE TAG,5,Own Brand,0.94,0.78,2009-12-18
116,RED SPOTTY LUGGAGE TAG,5,Own Brand,1.44,1.19,2009-12-23
117,ECONOMY LUGGAGE TAG,5,Own Brand,1.44,1.19,2010-06-07
118,VIP LUGGAGE TAG,5,Own Brand,1.44,1.19,2009-12-23
119,BLUE SPOTTY PURSE,1,Own Brand,3.39,2.73,2009-12-07
120,FIRST CLASS HOLIDAY PURSE,1,Own Brand,3.39,2.73,2009-12-10
121,QUEEN OF THE SKIES HOLIDAY PURSE,1,Own Brand,3.39,2.73,2009-12-10
122,RED SPOTTY PURSE,1,Own Brand,3.39,2.73,2009-12-07
123,ECONOMY HOLIDAY PURSE,1,Own Brand,1.8,1.45,2010-04-29
124,DISCO BALL CHRISTMAS DECORATION,3,Own Brand,0.14,0.1,2010-10-07
125,RED HEART LUGGAGE TAG,6,Own Brand,1.44,1.12,2010-02-11
126,VIP HOLIDAY PURSE,1,Own Brand,0.2,0.16,2009-12-10
127,BLUE TEATIME PRINT BOWL,7,Own Brand,1.44,1.18,2010-07-13
128,PINK TEATIME PRINT BOWL,7,Own Brand,1.44,1.18,2010-01-31
129,GREEN POLKADOT BOWL,7,Own Brand,1.44,1.18,2009-12-14
130,BLUE SPOTTY BOWL,7,Own Brand,1.44,1.18,2009-12-17
131,RED RETROSPOT BOWL,7,Own Brand,1.44,1.18,2009-12-01
132,PINK POLKADOT BOWL,7,Own Brand,1.44,1.18,2009-12-22
133,EDWARDIAN PARASOL RED,4,Own Brand,6.84,5.71,2009-12-04
134,PINK SPOTTY CHILDS UMBRELLA,10,Own Brand,3.74,3.04,2009-12-01
135,RED RETROSPOT CHILDRENS UMBRELLA,10,Own Brand,3.74,3.04,2009-12-01
136,STRAWBERRY DREAM CHILDS UMBRELLA,10,Own Brand,3.74,3.04,2009-12-01
137,DOORMAT RED RETROSPOT,6,Own Brand,8.61,6.67,2009-12-01
138,DOLLY MIXTURE CHILDREN'S UMBRELLA,11,Own Brand,3.74,2.93,2009-12-04
139,BEAUTY SPEED EXPRESSO CUPS,7,Own Brand,0.52,0.43,2010-03-17
140,RETRO SISTERS EXPRESSO CUPS,7,Own Brand,6.84,5.61,2009-12-07
141,FLORAL ELEPHANT SOFT TOY,11,Own Brand,4.6,3.6,2009-12-09
142,FLORAL PINK MONSTER,5,Own Brand,4.31,3.57,2010-07-14
143,FLORAL BLUE MONSTER,5,Own Brand,4.6,3.81,2010-09-24
144,FLORAL SOFT CAR TOY,11,Own Brand,4.31,3.37,2009-12-02
145,MOUSEY LONG LEGS SOFT TOY,11,Own Brand,2.93,2.29,2010-09-06
146,GREEN CAT FLORAL CUSHION COVER,6,Own Brand,4.31,3.34,2010-05-26
147,PINK CAT FLORAL CUSHION COVER,6,Own Brand,4.31,3.34,2010-08-23
148,PINK PADDED MOBILE,5,Own Brand,4.89,4.05,2009-12-09
149,BLUE PADDED SOFT MOBILE,5,Own Brand,4.89,4.05,2009-12-09
150,MR ROBOT SOFT TOY,11,Own Brand,7.99,6.25,2010-06-28
151,MRS ROBOT SOFT TOY,11,Own Brand,7.99,6.25,2010-05-25
152,CRAZY DAISY HEART DECORATION,6,Own Brand,1.44,1.12,2009-12-18
153,JUMBO BAG TOYS,1,Own Brand,2.24,1.8,2009-12-01
154,JUMBO BAG WOODLAND ANIMALS,1,Own Brand,2.24,1.8,2009-12-01
155,JUMBO BAG OWLS,1,Own Brand,2.24,1.8,2009-12-08
156,POSY SHOPPER BAG,1,Own Brand,0.44,0.35,2009-12-18
157,PARTY FOOD SHOPPER BAG,8,Own Brand,1.44,1.09,2009-12-16
158,STRAWBERRY SHOPPER BAG,1,Own Brand,1.44,1.16,2009-12-16
159,RED SPOTTY SHOPPER BAG,1,Own Brand,1.44,1.16,2009-12-01
160,WOODLAND CHARLOTTE BAG,1,Own Brand,0.98,0.79,2009-12-01
161,STRAWBERRY CHARLOTTE BAG,1,Own Brand,0.98,0.79,2009-12-07
162,RED RETROSPOT CHARLOTTE BAG,1,Own Brand,0.98,0.79,2009-12-01
163,LUNCH BAG RED RETROSPOT,1,Own Brand,1.9,1.53,2009-12-01
164,LUNCH BAG WOODLAND,1,Own Brand,1.9,1.53,2009-12-10
165,LUNCH BAG BLACK SKULL.,1,Own Brand,1.9,1.53,2009-12-08
166,LUNCH BAG CARS BLUE,1,Own Brand,1.9,1.53,2009-12-01
167,RED SPOTTY CANDY BAG,1,Own Brand,1.44,1.16,2009-12-08
168,STRAWBERRY CANDY BAG,1,Own Brand,1.44,1.16,2009-12-18
169,POSY CANDY BAG,1,Own Brand,1.44,1.16,2010-04-08
170,GOLD MINI TAPE MEASURE,5,Own Brand,0.98,0.81,2010-02-22
171,SILVER MINI TAPE MEASURE,5,Own Brand,0.98,0.81,2009-12-13
172,BLACK MINI TAPE MEASURE,5,Own Brand,0.98,0.81,2011-03-07
173,GREEN MINI TAPE MEASURE,5,Own Brand,0.98,0.81,2010-01-11
174,PICCADILLY TEA SET,5,Own Brand,17.19,14.22,2009-12-04
175,KENSINGTON COFFEE SET,5,Own Brand,14.66,12.13,2010-01-25
176,ASSORTED COLOUR MINI CASES,1,Own Brand,9.14,7.36,2009-12-01
177,RED RETROSPOT MINI CASES,1,Own Brand,9.14,7.36,2009-12-01
178,FUNKY WASHING UP GLOVES ASSORTED,10,Own Brand,2.42,1.97,2009-12-07
179,BLUE POLKADOT WASHING UP GLOVES,10,Own Brand,2.42,1.97,2010-03-12
180,RETRO PINK SPOT WASHING UP GLOVES,10,Own Brand,2.42,1.97,2009-12-14
181,RETRO RED SPOTTY WASHING UP GLOVES,10,Own Brand,2.42,1.97,2009-12-14
182,BLUE PAISLEY POCKET BOOK,5,Own Brand,0.98,0.81,2010-03-05
183,GREEN FERN POCKET BOOK,5,Own Brand,0.98,0.81,2010-11-04
184,ABSTRACT CIRCLES POCKET BOOK,5,Own Brand,0.98,0.81,2010-03-05
185,CHRYSANTHEMUM POCKET BOOK,5,Own Brand,0.86,0.71,2010-03-05
186,GARDEN PATH POCKET BOOK,4,Own Brand,0.98,0.82,2010-11-04
187,BLUE PAISLEY SKETCHBOOK,9,Own Brand,4.31,3.4,2010-11-04
188,GREEN FERN SKETCHBOOK,9,Own Brand,3.39,2.68,2010-11-04
189,ABSTRACT CIRCLES SKETCHBOOK,9,Own Brand,4.31,3.4,2009-12-04
190,GARDEN PATH SKETCHBOOK,9,Own Brand,4.31,3.4,2010-11-04
191,BLUE PAISLEY JOURNAL,9,Own Brand,2.93,2.31,2010-03-05
192,GREEN FERN JOURNAL,9,Own Brand,2.42,1.91,2010-03-05
193,DAISY JOURNAL,9,Own Brand,2.93,2.31,2010-03-05
194,ABSTRACT CIRCLE JOURNAL,9,Own Brand,2.93,2.31,2010-01-22
195,CHRYSANTHEMUM JOURNAL,9,Own Brand,2.93,2.31,2010-03-26
196,GARDEN PATH JOURNAL,9,Own Brand,2.93,2.31,2010-03-05
197,GREEN FERN NOTEBOOK,9,Own Brand,1.9,1.5,2011-09-04
198,ABSTRACT CIRCLES NOTEBOOK,9,Own Brand,1.9,1.5,2010-01-22
199,CHRYSANTHEMUM NOTEBOOK,9,Own Brand,1.9,1.5,2010-06-07
200,GARDEN PATH NOTEBOOK,9,Own Brand,1.9,1.5,2010-06-07
201,BLACK EAR MUFF HEADPHONES,5,Own Brand,6.31,5.22,2009-12-07
202,GOLD EAR MUFF HEADPHONES,5,Own Brand,6.31,5.22,2010-03-04
203,CAMOUFLAGE EAR MUFF HEADPHONES,5,Own Brand,6.31,5.22,2010-03-04
204,HEART EAR MUFF HEADPHONES,6,Own Brand,6.31,4.89,2010-03-04
205,FUSCHIA RETRO BAR STOOL,5,Own Brand,45.94,38.01,2010-05-26
206,BLUE TILE HOOK,6,Own Brand,2.93,2.27,2010-03-26
207,LARGE BLUE PROVENCAL CERAMIC BALL,5,Own Brand,2.42,2.0,2010-11-23
208,SMALL BLUE PROVENCAL CERAMIC BALL,5,Own Brand,1.9,1.57,2011-08-22
209,CLEAR MILKSHAKE GLASS,5,Own Brand,2.42,2.0,2010-03-07
210,PINK MILKSHAKE GLASS,5,Own Brand,2.42,2.0,2010-02-15
211,LARGE GLASS SUNDAE DISH CLEAR,5,Own Brand,0.29,0.24,2010-03-17
212,LARGE PINK GLASS SUNDAE DISH,5,Own Brand,0.91,0.75,2011-01-17
213,SMALL PINK GLASS SUNDAE DISH,5,Own Brand,1.9,1.57,2010-02-15
214,GOLD FLOWER CUSHION COVER,6,Own Brand,7.76,6.01,2010-10-29
215,GOLD TEDDY BEAR,11,Own Brand,2.88,2.25,2009-12-05
216,SILVER TEDDY BEAR,11,Own Brand,4.31,3.37,2009-12-05
217,GLITTER BUTTERFLY CLIPS,9,Own Brand,2.93,2.31,2010-01-27
218,GLITTER HANGING BUTTERFLY STRING,6,Own Brand,2.42,1.88,2010-07-02
219,SILVER PHOTO FRAME,6,Own Brand,2.42,1.88,2010-08-27
220,GOLD PHOTO FRAME,6,Own Brand,2.42,1.88,2010-01-27
221,RED FLOCK LOVE HEART PHOTO FRAME,6,Own Brand,0.72,0.56,2010-11-23
222,FRENCH PAISLEY CUSHION COVER,6,Own Brand,0.95,0.74,2011-09-05
223,FRENCH FLORAL CUSHION COVER,6,Own Brand,0.95,0.74,2011-06-15
224,FRENCH LATTICE CUSHION COVER,6,Own Brand,0.98,0.76,2011-07-27
225,FRENCH PAISLEY CUSHION COVER,6,Own Brand,0.98,0.76,2010-09-21
226,FRENCH FLORAL CUSHION COVER,6,Own Brand,0.98,0.76,2009-12-18
227,ZINC HEART LATTICE 2 WALL PLANTER,6,Own Brand,7.3,5.66,2009-12-18
228,ZINC HEART LATTICE T-LIGHT HOLDER,6,Own Brand,1.44,1.12,2010-10-01
229,ZINC HEART LATTICE CHARGER LARGE,6,Own Brand,4.31,3.34,2011-06-21
230,ZINC HEART LATTICE DOUBLE PLANTER,6,Own Brand,0.57,0.44,2010-02-15
231,ZINC HEART LATTICE PLANTER BOWL,7,Own Brand,0.57,0.47,2010-02-15
232,ZINC HEART LATTICE TRAY OVAL,7,Own Brand,0.57,0.47,2010-02-15
233,BLUE PATCH PURSE PINK HEART,1,Own Brand,1.9,1.53,2010-02-23
234,PINK PATCH PURSE BLUE HEART,1,Own Brand,1.9,1.53,2010-02-23
235,DENIM PATCH PURSE PINK BUTTERFLY,1,Own Brand,1.9,1.53,2010-02-23
236,BLUE ROSE PATCH PURSE PINK BUTTERFL,1,Own Brand,1.9,1.53,2010-01-24
237,GOLD COSMETIC BAG PINK STAR,1,Own Brand,2.42,1.95,2009-12-10
238,PINK PATCH PENCIL CASE BLUE HEART,1,Own Brand,2.42,1.95,2009-12-10
239,BLUE PATCH PENCIL CASE PINK HEART,1,Own Brand,2.42,1.95,2010-02-23
240,DENIM PATCH PENCIL CASE BUTTERFLY,1,Own Brand,2.42,1.95,2009-12-10
241,PATCHWORK PENCIL CASE BUTTERFLY,1,Own Brand,2.42,1.95,2010-01-19
242,BLUE ROSE FABRIC MIRROR,6,Own Brand,1.44,1.12,2010-03-26
243,PINK ROSE FABRIC MIRROR,6,Own Brand,1.44,1.12,2010-05-26
244,SILVER FABRIC MIRROR,6,Own Brand,0.94,0.73,2010-11-28
245,GOLD FABRIC MIRROR,6,Own Brand,0.94,0.73,2010-07-14
246,OPULENT VELVET CANDLE IN BOX,1,Own Brand,2.42,1.95,2009-12-03
247,OPULENT VELVET SET/3 CANDLES,6,Own Brand,1.44,1.12,2010-01-12
248,BOX OF 9 PEBBLE CANDLES,1,Own Brand,2.24,1.8,2010-01-19
249,JARDIN DE FEMME SCENTED CANDLE,1,Own Brand,0.34,0.27,2010-01-21
250,SET/3 TALL GLASS CANDLE HOLDER PINK,6,Own Brand,11.44,8.87,2010-05-21
251,HANGING BAUBLE T-LIGHT HOLDER SMALL,6,Own Brand,2.93,2.27,2010-08-31
252,VINTAGE NOTEBOOK PARIS DAYS,9,Own Brand,3.39,2.68,2010-07-23
253,VINTAGE NOTEBOOK TRAVELOGUE,9,Own Brand,3.39,2.68,2010-07-23
254,VINTAGE KEEPSAKE BOX PINK FLOWER,1,Own Brand,7.3,5.88,2010-05-24
255,VINTAGE KEEPSAKE BOX PARIS DAYS,1,Own Brand,7.3,5.88,2010-10-07
256,VINTAGE KEEPSAKE BOX TRAVELOGUE,1,Own Brand,7.3,5.88,2010-10-07
257,SET/5 RED RETROSPOT LID GLASS BOWLS,7,Own Brand,3.39,2.78,2009-12-01
258,BLUE POT PLANT CANDLE,6,Own Brand,4.31,3.34,2009-12-14
259,PINK POT PLANT CANDLE,6,Own Brand,4.31,3.34,2010-04-12
260,YELLOW POT PLANT CANDLE,6,Own Brand,3.39,2.63,2010-01-21
261,SET/3 POT PLANT CANDLES,6,Own Brand,5.98,4.63,2010-01-21
262,SET/6 GARDEN GNOME T-LIGHT CANDLES,6,Own Brand,3.39,2.63,2009-12-04
263,FROG CANDLE,6,Own Brand,1.44,1.12,2009-12-04
264,SET/6 GINGERBREAD STAR T-LIGHTS,6,Own Brand,1.44,1.12,2010-06-30
265,SET/6 ANGEL T-LIGHTS WHITE/GOLD,6,Own Brand,0.48,0.37,2010-09-01
266,PORCELAIN CHERUB BELL SMALL,5,Own Brand,0.48,0.4,2010-03-29
267,PORCELAIN CHERUB BELL LARGE,5,Own Brand,1.9,1.57,2010-03-29
268,PORCELAIN T-LIGHT HOLDERS ASSORTED,6,Own Brand,1.44,1.12,2010-12-03
269,PORCELAIN HANGING BELL SMALL,6,Own Brand,1.67,1.29,2010-10-06
270,WATERMELON BATH SPONGE,2,Own Brand,1.44,1.15,2009-12-14
271,STRAWBERRY BATH SPONGE,2,Own Brand,1.44,1.15,2010-01-27
272,APPLE BATH SPONGE,2,Own Brand,1.44,1.15,2010-01-19
273,POLYESTER FILLER PAD 60x40cm,5,Own Brand,2.93,2.42,2009-12-01
274,SANDWICH BATH SPONGE,2,Own Brand,1.44,1.15,2009-12-14
275,GREY FLORAL FELTCRAFT SHOULDER BAG,1,Own Brand,4.31,3.47,2010-01-22
276,RED FLORAL FELTCRAFT SHOULDER BAG,1,Own Brand,4.31,3.47,2010-01-22
277,PINK FLORAL FELTCRAFT SHOULDER BAG,1,Own Brand,4.31,3.47,2010-04-16
278,PINK BLUE FELT CRAFT TRINKET BOX,1,Own Brand,1.44,1.16,2010-01-19
279,PINK CREAM FELT CRAFT TRINKET BOX,1,Own Brand,1.44,1.16,2010-01-19
280,12 PENCIL SMALL TUBE WOODLAND,9,Own Brand,0.75,0.59,2010-04-09
281,12 PENCILS SMALL TUBE SKULL,9,Own Brand,0.75,0.59,2010-02-03
282,12 PENCILS SMALL TUBE RED RETROSPOT,9,Own Brand,0.75,0.59,2009-12-13
283,12 PENCILS SMALL TUBE POSY,9,Own Brand,0.75,0.59,2010-01-19
284,36 PENCILS TUBE WOODLAND,9,Own Brand,1.44,1.14,2009-12-02
285,36 PENCILS TUBE SKULLS,9,Own Brand,1.44,1.14,2010-01-19
286,36 PENCILS TUBE RED RETROSPOT,9,Own Brand,1.44,1.14,2009-12-01
287,36 PENCILS TUBE POSY,9,Own Brand,1.44,1.14,2010-01-19
288,12 PENCILS TALL TUBE WOODLAND,9,Own Brand,0.98,0.77,2009-12-02
289,12 PENCILS TALL TUBE SKULLS,9,Own Brand,0.98,0.77,2010-02-09
290,12 PENCILS TALL TUBE RED RETROSPOT,9,Own Brand,0.98,0.77,2009-12-01
291,12 PENCILS TALL TUBE POSY,9,Own Brand,0.33,0.26,2009-12-18
292,HEART CALCULATOR,6,Own Brand,1.44,1.12,2009-12-04
293,BLUE CALCULATOR RULER,5,Own Brand,1.44,1.19,2010-03-24
294,SPRING FLOWER CHOPSTICKS SET/5,4,Own Brand,2.24,1.87,2010-02-01
295,JAZZ HEARTS MAGNETIC MEMO PAD,6,Own Brand,0.75,0.58,2010-01-18
296,JAZZ HEARTS PURSE NOTEBOOK,1,Own Brand,0.65,0.52,2009-12-13
297,JAZZ HEARTS ADDRESS BOOK,6,Own Brand,0.48,0.37,2010-07-27
298,ROSE DU SUD CUSHION COVER,6,Own Brand,5.69,4.41,2009-12-08
299,ROSE DU SUD OVEN GLOVE,10,Own Brand,3.39,2.75,2009-12-08
300,ROSE DU SUD COSMETICS BAG,1,Own Brand,4.89,3.94,2009-12-08
301,ROSE DU SUD WASHBAG,1,Own Brand,6.84,5.51,2010-03-02
302,ROSE DU SUD DRAWSTRING BAG,1,Own Brand,4.89,3.94,2010-01-19
303,ROSE DU SUD CHILDS APRON,7,Own Brand,4.89,4.01,2009-12-10
304,ETCHED GLASS DROPLET DECORATION,6,Own Brand,0.44,0.34,2009-12-04
305,ETCHED GLASS BIRD TREE DECORATION,6,Own Brand,1.44,1.12,2010-09-02
306,GLITTER SNOW PEAR TREE DECORATION,6,Own Brand,0.44,0.34,2010-09-13
307,ANTIQUE ALL GLASS CANDLESTICK,6,Own Brand,2.42,1.88,2010-12-15
308,SWISS CHALET TREE DECORATION,6,Own Brand,0.66,0.51,2010-08-27
309,DARK BIRD HOUSE TREE DECORATION,6,Own Brand,0.33,0.26,2010-11-29
310,LIGHT BIRD HOUSE TREE DECORATION,6,Own Brand,0.98,0.76,2010-06-17
311,RED BIRD HOUSE TREE DECORATION,6,Own Brand,0.83,0.64,2009-12-01
312,BIRD BOX CHRISTMAS TREE DECORATION,3,Own Brand,0.98,0.73,2010-10-06
313,SPACE FROG,5,Own Brand,1.44,1.19,2010-09-10
314,SPACE OWL,5,Own Brand,1.44,1.19,2010-06-28
